State,Head of state (USD),Head of government (USD),Head of state salary divided by GDP [1 per million],Head of government salary divided by GDP [1 per million],Head of state salary divided by GDP per capita,Head of government salary divided by GDP per capita
Germany,"268,448 USD (President)[62]","369,727 USD (Chancellor)[18]",0.0654,0.0814,5.4081,6.7292
Ghana,"76,000 USD (President)[6]","76,000 USD (President)[6]",1.6159,1.6159,45.7005,45.7005
Greece,"154,739 USD (President)[28]","82,405 USD (Prime Minister)[18]",0.771,0.4106,8.3028,4.4216
Grenada,"55,014 USD (Governor General)[63]","29,859 USD (Prime Minister)[63]",,22.3195,,2.3935
Guatemala,"178,680 USD (President)[32]","178,680 USD (President)[32]",2.3616,2.3616,39.9553,39.9553
Guinea,"22,390 USD (President)[7]",,2.4382,,29.8932,
Guinea-Bissau,"6,360 USD (President)[64]",,,,,
Guyana,"91,700 USD (President)[65]","98,300 USD (Prime Minister)[66]",25.5361,27.374,19.4692,20.8705
Haiti,"3,782 USD (President)[67]",,0.4524,,4.824,
Honduras,"49,908 USD (President)[32]","49,908 USD (President)[32]",2.1723,2.1723,18.0434,18.0434
Hong Kong,"568,400 USD (Chief Executive)[68]","568,400 USD (Chief Executive)[68]",1.8722,1.8722,13.8726,13.8726
Hungary,"70,964 USD (President)[18]","99,349 USD (Prime Minister)[18]",0.466,0.6524,4.5692,6.3968
Iceland,"317,000 USD (President)[69]","242,619 USD (Prime Minister)[18]",7.9886,10.1476,2.7157,3.4496
India,"84,500 USD (President)[70]","66,000 USD (Prime Minister)[71]",0.0333,0.0107,43.8729,14.12
Indonesia,"51,600 USD (President)[72]","51,600 USD (President)[72]",0.1223,0.1223,32.0359,32.0359
Iran,0 USD (Supreme Leader)[73],"20,400 USD (President)[74]",,0.0439,,3.5715
Iraq,"809,673 USD (President)[19]","96,000 USD (Prime Minister)[75]",4.0955,0.4856,159.1338,18.8679
Ireland,"401,000 USD (President)[76]","237,000 USD (Taoiseach)[77]",1.2006,0.7096,5.6768,3.3551
Israel,"173,000 USD (President)[18]","168,210 USD (Prime Minister)[18]",0.4934,0.4798,4.2973,4.1783
Italy,"275,147 USD (President)[33]","131,608 USD (Prime Minister)[28]",0.142,0.0679,8.6026,4.1148
Ivory Coast,"100,000 USD (President)[6]",,2.4777,,61.8429,
Jamaica,"70,400 USD (Governor-General)[78][79]","57,545 USD (Prime Minister)[80]",,3.359,,9.5087
